link,title,description
http://arxiv.org/abs/1903.11770,An Improved Approach for Semantic Graph Composition with CCG. (arXiv:1903.11770v1 [cs.CL]),"<p>This paper builds on previous work using Combinatory Categorial Grammar (CCG)
to derive a transparent syntax-semantics interface for Abstract Meaning
Representation (AMR) parsing. We define new semantics for the CCG combinators
that is better suited to deriving AMR graphs. In particular, we define
symmetric alternatives for the application and composition combinators: these
require that the two constituents being combined overlap in one AMR relation.
We also provide a new semantics for type raising, which is necessary for
certain constructions. Using these mechanisms, we suggest an analysis of
eventive nouns, which present a challenge for deriving AMR graphs. Our
theoretical analysis will facilitate future work on robust and transparent AMR
parsing using CCG.
</p>
"
http://arxiv.org/abs/1903.11771,A Large-Scale Multi-Length Headline Corpus for Improving Length-Constrained Headline Generation Model Evaluation. (arXiv:1903.11771v1 [cs.CL]),"<p>Browsing news articles on multiple devices is now possible. The lengths of
news article headlines have precise upper bounds, dictated by the size of the
display of the relevant device or interface. Therefore, controlling the length
of headlines is essential when applying the task of headline generation to news
production. However, because there is no corpus of headlines of multiple
lengths for a given article, prior researches on controlling output length in
headline generation have not discussed whether the evaluation of the setting
that uses a single length reference can evaluate multiple length outputs
appropriately. In this paper, we introduce two corpora (JNC and JAMUL) to
confirm the validity of prior experimental settings and provide for the next
step toward the goal of controlling output length in headline generation. The
JNC provides common supervision data for headline generation. The JAMUL is a
large-scale evaluation dataset for headlines of three different lengths
composed by professional editors. We report new findings on these corpora; for
example, while the longest length reference summary can appropriately evaluate
the existing methods controlling output length, the methods do not manage the
selection of words according to length constraint.
</p>
"
http://arxiv.org/abs/1903.11774,How to pick the domain randomization parameters for sim-to-real transfer of reinforcement learning policies?. (arXiv:1903.11774v1 [cs.LG]),"<p>Recently, reinforcement learning (RL) algorithms have demonstrated remarkable
success in learning complicated behaviors from minimally processed input.
However, most of this success is limited to simulation. While there are
promising successes in applying RL algorithms directly on real systems, their
performance on more complex systems remains bottle-necked by the relative data
inefficiency of RL algorithms. Domain randomization is a promising direction of
research that has demonstrated impressive results using RL algorithms to
control real robots. At a high level, domain randomization works by training a
policy on a distribution of environmental conditions in simulation. If the
environments are diverse enough, then the policy trained on this distribution
will plausibly generalize to the real world. A human-specified design choice in
domain randomization is the form and parameters of the distribution of
simulated environments. It is unclear how to the best pick the form and
parameters of this distribution and prior work uses hand-tuned distributions.
This extended abstract demonstrates that the choice of the distribution plays a
major role in the performance of the trained policies in the real world and
that the parameter of this distribution can be optimized to maximize the
performance of the trained policies in the real world
</p>
"
http://arxiv.org/abs/1903.11775,Atrial Fibrillation Detection Using Deep Features and Convolutional Networks. (arXiv:1903.11775v1 [cs.LG]),"<p>Atrial fibrillation is a cardiac arrhythmia that affects an estimated 33.5
million people globally and is the potential cause of 1 in 3 strokes in people
over the age of 60. Detection and diagnosis of atrial fibrillation (AFIB) is
done noninvasively in the clinical environment through the evaluation of
electrocardiograms (ECGs). Early research into automated methods for the
detection of AFIB in ECG signals focused on traditional bio-medical signal
analysis to extract important features for use in statistical classification
models. Artificial intelligence models have more recently been used that employ
convolutional and/or recurrent network architectures. In this work, significant
time and frequency domain characteristics of the ECG signal are extracted by
applying the short-time Fourier trans-form and then visually representing the
information in a spectrogram. Two different classification approaches were
investigated that utilized deep features in the spectrograms construct-ed from
ECG segments. The first approach used a pretrained DenseNet model to extract
features that were then classified using Support Vector Machines, and the
second approach used the spectrograms as direct input into a convolutional
network. Both approaches were evaluated against the MIT-BIH AFIB dataset, where
the convolutional network approach achieved a classification accuracy of
93.16%. While these results do not surpass established automated atrial
fibrillation detection methods, they are promising and warrant further
investigation given they did not require any noise prefiltering, hand-crafted
features, nor a reliance on beat detection.
</p>
"
http://arxiv.org/abs/1903.11777,What you get is what you see: Decomposing Epistemic Planning using Functional STRIPS. (arXiv:1903.11777v1 [cs.AI]),"<p>Epistemic planning --- planning with knowledge and belief --- is essential in
many multi-agent and human-agent interaction domains. Most state-of-the-art
epistemic planners solve this problem by compiling to propositional classical
planning, for example, generating all possible knowledge atoms, or compiling
epistemic formula to normal forms. However, these methods become
computationally infeasible as problems grow. In this paper, we decompose
epistemic planning by delegating reasoning about epistemic formula to an
external solver. We do this by modelling the problem using \emph{functional
STRIPS}, which is more expressive than standard STRIPS and supports the use of
external, black-box functions within action models. Exploiting recent work that
demonstrates the relationship between what an agent `sees' and what it knows,
we allow modellers to provide new implementations of externals functions. These
define what agents see in their environment, allowing new epistemic logics to
be defined without changing the planner. As a result, it increases the
capability and flexibility of the epistemic model itself, and avoids the
exponential pre-compilation step. We ran evaluations on well-known epistemic
planning benchmarks to compare with an existing state-of-the-art planner, and
on new scenarios based on different external functions. The results show that
our planner scales significantly better than the state-of-the-art planner
against which we compared, and can express problems more succinctly.
</p>
"
http://arxiv.org/abs/1903.11779,BubbleNets: Learning to Select the Guidance Frame in Video Object Segmentation by Deep Sorting Frames. (arXiv:1903.11779v1 [cs.CV]),"<p>Semi-supervised video object segmentation has made significant progress on
real and challenging videos in recent years. The current paradigm for
segmentation methods and benchmark datasets is to segment objects in video
provided a single annotation in the first frame. However, we find that
segmentation performance across the entire video varies dramatically when
selecting an alternative frame for annotation. This paper address the problem
of learning to suggest the single best frame across the video for user
annotation---this is, in fact, never the first frame of video. We achieve this
by introducing BubbleNets, a novel deep sorting network that learns to select
frames using a performance-based loss function that enables the conversion of
expansive amounts of training examples from already existing datasets. Using
BubbleNets, we are able to achieve an 11% relative improvement in segmentation
performance on the DAVIS benchmark without any changes to the underlying method
of segmentation.
</p>
"
http://arxiv.org/abs/1903.11780,Wasserstein Dependency Measure for Representation Learning. (arXiv:1903.11780v1 [cs.LG]),"<p>Mutual information maximization has emerged as a powerful learning objective
for unsupervised representation learning obtaining state-of-the-art performance
in applications such as object recognition, speech recognition, and
reinforcement learning. However, such approaches are fundamentally limited
since a tight lower bound of mutual information requires sample size
exponential in the mutual information. This limits the applicability of these
approaches for prediction tasks with high mutual information, such as in video
understanding or reinforcement learning. In these settings, such techniques are
prone to overfit, both in theory and in practice, and capture only a few of the
relevant factors of variation. This leads to incomplete representations that
are not optimal for downstream tasks. In this work, we empirically demonstrate
that mutual information-based representation learning approaches do fail to
learn complete representations on a number of designed and real-world tasks. To
mitigate these problems we introduce the Wasserstein dependency measure, which
learns more complete representations by using the Wasserstein distance instead
of the KL divergence in the mutual information estimator. We show that a
practical approximation to this theoretically motivated solution, constructed
using Lipschitz constraint techniques from the GAN literature, achieves
substantially improved results on tasks where incomplete representations are a
major challenge.
</p>
"
http://arxiv.org/abs/1903.11782,Anywhere Decoding: Low-Overhead Uplink Interference Management for Wireless Networks. (arXiv:1903.11782v1 [cs.IT]),"<p>Inter-cell interference (ICI) is one of the major performance-limiting
factors in the context of modern cellular systems. To tackle ICI, coordinated
multi-point (CoMP) schemes have been proposed as a key technology for
next-generation mobile communication systems. Although CoMP schemes offer
promising theoretical gains, their performance could degrade significantly
because of practical issues such as limited backhaul. To address this issue, we
explore a novel uplink interference management scheme called anywhere decoding,
which requires exchanging just a few bits of information per coding interval
among the base stations (BSs). In spite of the low overhead of anywhere
decoding, we observe considerable gains in the outage probability performance
of cell-edge users, compared to no cooperation between BSs. Additionally,
asymptotic results of the outage probability for high-SNR regimes demonstrate
that anywhere decoding schemes achieve full spatial diversity through multiple
decoding opportunities, and they are within 1.5 dB of full cooperation.
</p>
"
http://arxiv.org/abs/1903.11783,A dataset for resolving referring expressions in spoken dialogue via contextual query rewrites (CQR). (arXiv:1903.11783v1 [cs.CL]),"<p>We present Contextual Query Rewrite (CQR) a dataset for multi-domain
task-oriented spoken dialogue systems that is an extension of the Stanford
dialog corpus (Eric et al., 2017a). While previous approaches have addressed
the issue of diverse schemas by learning candidate transformations (Naik et
al., 2018), we instead model the reference resolution task as a user query
reformulation task, where the dialog state is serialized into a natural
language query that can be executed by the downstream spoken language
understanding system. In this paper, we describe our methodology for creating
the query reformulation extension to the dialog corpus, and present an initial
set of experiments to establish a baseline for the CQR task. We have released
the corpus to the public [1] to support further research in this area.
</p>
"
http://arxiv.org/abs/1903.11785,A Fast Free-viewpoint Video Synthesis Algorithm for Sports Scenes. (arXiv:1903.11785v1 [cs.CV]),"<p>In this paper, we report on a parallel freeviewpoint video synthesis
algorithm that can efficiently reconstruct a high-quality 3D scene
representation of sports scenes. The proposed method focuses on a scene that is
captured by multiple synchronized cameras featuring wide-baselines. The
following strategies are introduced to accelerate the production of a
free-viewpoint video taking the improvement of visual quality into account: (1)
a sparse point cloud is reconstructed using a volumetric visual hull approach,
and an exact 3D ROI is found for each object using an efficient connected
components labeling algorithm. Next, the reconstruction of a dense point cloud
is accelerated by implementing visual hull only in the ROIs; (2) an accurate
polyhedral surface mesh is built by estimating the exact intersections between
grid cells and the visual hull; (3) the appearance of the reconstructed
presentation is reproduced in a view-dependent manner that respectively renders
the non-occluded and occluded region with the nearest camera and its
neighboring cameras. The production for volleyball and judo sequences
demonstrates the effectiveness of our method in terms of both execution time
and visual quality.
</p>
"
http://arxiv.org/abs/1903.11787,Successive-Cancellation Decoding of Linear Source Code. (arXiv:1903.11787v1 [cs.IT]),"<p>This paper investigates the error probability of several decoding methods for
a source code with decoder side information, where the decoding methods are: 1)
symbol-wise maximum a posteriori decoding, 2) successive-cancellation decoding,
and 3) stochastic successive-cancellation decoding. The proof of the
effectiveness of a decoding method is reduced to that for an arbitrary decoding
method, where `effective' means that the error probability goes to zero as $n$
goes to infinity. Furthermore, we revisit the polar source code showing that
stochastic successive-cancellation decoding, as well as successive-cancellation
decoding, is effective for this code.
</p>
"
http://arxiv.org/abs/1903.11788,Cherenkov Detectors Fast Simulation Using Neural Networks. (arXiv:1903.11788v1 [hep-ex]),"<p>We propose a way to simulate Cherenkov detector response using a generative
adversarial neural network to bypass low-level details. This network is trained
to reproduce high level features of the simulated detector events based on
input observables of incident particles. This allows the dramatic increase of
simulation speed. We demonstrate that this approach provides simulation
precision which is consistent with the baseline and discuss possible
implications of these results.
</p>
"
http://arxiv.org/abs/1903.11789,Step Change Improvement in ADMET Prediction with PotentialNet Deep Featurization. (arXiv:1903.11789v1 [cs.LG]),"<p>The Absorption, Distribution, Metabolism, Elimination, and Toxicity (ADMET)
properties of drug candidates are estimated to account for up to 50% of all
clinical trial failures. Predicting ADMET properties has therefore been of
great interest to the cheminformatics and medicinal chemistry communities in
recent decades. Traditional cheminformatics approaches, whether the learner is
a random forest or a deep neural network, leverage fixed fingerprint feature
representations of molecules. In contrast, in this paper, we learn the features
most relevant to each chemical task at hand by representing each molecule
explicitly as a graph, where each node is an atom and each edge is a bond. By
applying graph convolutions to this explicit molecular representation, we
achieve, to our knowledge, unprecedented accuracy in prediction of ADMET
properties. By challenging our methodology with rigorous cross-validation
procedures and prospective analyses, we show that deep featurization better
enables molecular predictors to not only interpolate but also extrapolate to
new regions of chemical space.
</p>
"
http://arxiv.org/abs/1903.11791,Hierarchical Pooling Structure for Weakly Labeled Sound Event Detection. (arXiv:1903.11791v1 [cs.SD]),"<p>Sound event detection with weakly labeled data is considered as a problem of
multi-instance learning. And the choice of pooling function is the key to
solving this problem. In this paper, we proposed a hierarchical pooling
structure to improve the performance of weakly labeled sound event detection
system. Proposed pooling structure has made remarkable improvements on three
types of pooling function without adding any parameters. Moreover, our system
has achieved competitive performance on Task 4 of Detection and Classification
of Acoustic Scenes and Events (DCASE) 2017 Challenge using hierarchical pooling
structure.
</p>
"
http://arxiv.org/abs/1903.11800,Pyramid Mask Text Detector. (arXiv:1903.11800v1 [cs.CV]),"<p>Scene text detection, an essential step of scene text recognition system, is
to locate text instances in natural scene images automatically. Some recent
attempts benefiting from Mask R-CNN formulate scene text detection task as an
instance segmentation problem and achieve remarkable performance. In this
paper, we present a new Mask R-CNN based framework named Pyramid Mask Text
Detector (PMTD) to handle the scene text detection. Instead of binary text mask
generated by the existing Mask R-CNN based methods, our PMTD performs
pixel-level regression under the guidance of location-aware supervision,
yielding a more informative soft text mask for each text instance. As for the
generation of text boxes, PMTD reinterprets the obtained 2D soft mask into 3D
space and introduces a novel plane clustering algorithm to derive the optimal
text box on the basis of 3D shape. Experiments on standard datasets demonstrate
that the proposed PMTD brings consistent and noticeable gain and clearly
outperforms state-of-the-art methods. Specifically, it achieves an F-measure of
80.13% on ICDAR 2017 MLT dataset.
</p>
"
http://arxiv.org/abs/1903.11807,On the Spectral Efficiency for Massive MIMO Systems With Imperfect Spacial Covariance Information. (arXiv:1903.11807v1 [cs.IT]),"<p>This paper studies the impact of imperfect channel covariance information on
the uplink and downlink spectral efficiencies of a time division duplexed (TDD)
massive multiple-input multiple-output (MIMO) system. Specifically, we derive
analytical lower bounds on the uplink and downlink spectral efficiencies of a
user with imperfect knowledge on channel vectors, as well as that of the
channel covariance matrices, of the users. We consider a linear minimum mean
squared estimator (LMMSE) and element-wise LMMSE channel estimation for the
unknown channel in this paper. These analytical bounds enable us to choose the
sample size for covariance matrix estimation to meet spectral efficiency
requirements. The accurate agreement between derived bounds and simulated
bounds based on random samples of channel vector and covariance matrices is
shown.
</p>
"
http://arxiv.org/abs/1903.11808,Exploiting the Shipping Lane Information for Energy-Efficient Maritime Communications. (arXiv:1903.11808v1 [cs.IT]),"<p>Energy efficiency is a crucial issue for maritime communications, due to the
limitation of geographically available base station sites. Different from
previous studies, we promote the energy efficiency by exploiting the specific
characteristics of maritime channels and user mobility. Particularly, we
utilize the shipping lane information to obtain the long-term position
information of marine users, from which the large-scale channel state
information is estimated. Based on that, the resource allocation is jointly
optimized for all users and all time slots during the voyage, leading to a
mixed 0-1 non-convex programming problem. We transform this problem into a
convex one by means of variable substitution and time-sharing relaxation, and
propose an iterative algorithm to solve it based on the Lagrangian dual
decomposition method. Simulation results demonstrate that the proposed scheme
can significantly reduce the power consumption compared with existing
approaches, due to the global optimization over a much larger time span by
utilizing the shipping lane information.
</p>
"
http://arxiv.org/abs/1903.11812,Analysis of distracted pedestrians' waiting time: Head-Mounted Immersive Virtual Reality application. (arXiv:1903.11812v1 [cs.HC]),"<p>This paper analyzes the distracted pedestrians' waiting time before crossing
the road in three conditions: 1) not distracted, 2) distracted with a
smartphone and 3) distracted with a smartphone in the presence of virtual
flashing LED lights on the crosswalk as a safety measure. For the means of data
collection, we adapted an in-house developed virtual immersive reality
environment (VIRE). A total of 42 volunteers participated in the experiment.
Participants' positions and head movements were recorded and used to calculate
walking speeds, acceleration and deceleration rates, surrogate safety measures,
time spent playing smartphone game, etc. After a descriptive analysis on the
data, the effects of these variables on pedestrians' waiting time are analyzed
by employing a cox proportional hazard model. Several factors were identified
as having impact on waiting time. The results show that an increase in initial
walk speed, percentage of time the head was oriented toward smartphone during
crossing, bigger minimum missed gaps and unsafe crossings resulted in shorter
waiting times. On the other hand, an increase in the percentage of time the
head was oriented toward smartphone during waiting time, crossing time and maze
solving time, means longer waiting times for participants.
</p>
"
http://arxiv.org/abs/1903.11814,"Hybrid Satellite-Terrestrial Communication Networks for the Maritime Internet of Things: Key Technologies, Opportunities, and Challenges. (arXiv:1903.11814v1 [cs.NI])","<p>With the rapid development of marine activities, there has been an increasing
number of maritime mobile terminals, as well as a growing demand for high-speed
and ultra-reliable maritime communications to keep them connected.
Traditionally, the maritime Internet of Things (IoT) is enabled by maritime
satellites. However, satellites are seriously restricted by their high latency
and relatively low data rate. As an alternative, shore &amp; island-based base
stations (BSs) can be built to extend the coverage of terrestrial networks
using fourth-generation (4G), fifth-generation (5G), and beyond 5G services.
Unmanned aerial vehicles can also be exploited to serve as aerial maritime BSs.
Despite of all these approaches, there are still open issues for an efficient
maritime communication network (MCN). For example, due to the complicated
electromagnetic propagation environment, the limited geometrically available BS
sites, and rigorous service demands from mission-critical applications,
conventional communication and networking theories and methods should be
tailored for maritime scenarios. Towards this end, we provide a survey on the
demand for maritime communications, the state-of-the-art MCNs, and key
technologies for enhancing transmission efficiency, extending network coverage,
and provisioning maritime-specific services. Future challenges in developing an
environment-aware, service-driven, and integrated satellite-air-ground MCN to
be smart enough to utilize external auxiliary information, e.g., sea state and
atmosphere conditions, are also discussed.
</p>
"
http://arxiv.org/abs/1903.11816,FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation. (arXiv:1903.11816v1 [cs.CV]),"<p>Modern approaches for semantic segmentation usually employ dilated
convolutions in the backbone to extract high-resolution feature maps, which
brings heavy computation complexity and memory footprint. To replace the time
and memory consuming dilated convolutions, we propose a novel joint upsampling
module named Joint Pyramid Upsampling (JPU) by formulating the task of
extracting high-resolution feature maps into a joint upsampling problem. With
the proposed JPU, our method reduces the computation complexity by more than
three times without performance loss. Experiments show that JPU is superior to
other upsampling modules, which can be plugged into many existing approaches to
reduce computation complexity and improve performance. By replacing dilated
convolutions with the proposed JPU module, our method achieves the
state-of-the-art performance in Pascal Context dataset (mIoU of 53.13%) and
ADE20K dataset (final score of 0.5584) while running 3 times faster.
</p>
"
http://arxiv.org/abs/1903.11821,SRDGAN: learning the noise prior for Super Resolution with Dual Generative Adversarial Networks. (arXiv:1903.11821v1 [cs.MM]),"<p>Single Image Super Resolution (SISR) is the task of producing a high
resolution (HR) image from a given low-resolution (LR) image. It is a well
researched problem with extensive commercial applications such as digital
camera, video compression, medical imaging and so on. Most super resolution
works focus on the features learning architecture, which can recover the
texture details as close as possible. However, these works suffer from the
following challenges: (1) The low-resolution (LR) training images are
artificially synthesized using HR images with bicubic downsampling, which have
much richer-information than real demosaic-upscaled mobile images. The mismatch
between training and inference mobile data heavily blocks the improvement of
practical super resolution algorithms. (2) These methods cannot effectively
handle the blind distortions during super resolution in practical applications.
In this work, an end-to-end novel framework, including high-to-low network and
low-to-high network, is proposed to solve the above problems with dual
Generative Adversarial Networks (GAN). First, the above mismatch problems are
well explored with the high-to-low network, where clear high-resolution image
and the corresponding realistic low-resolution image pairs can be generated.
Moreover, a large-scale General Mobile Super Resolution Dataset, GMSR, is
proposed, which can be utilized for training or as a fair comparison benchmark
for super resolution methods. Second, an effective low-to-high network (super
resolution network) is proposed in the framework. Benefiting from the GMSR
dataset and novel training strategies, the super resolution model can
effectively handle detail recovery and denoising at the same time.
</p>
"
http://arxiv.org/abs/1903.11833,Skip prediction using boosting trees based on acoustic features of tracks in sessions. (arXiv:1903.11833v1 [cs.IR]),"<p>The Spotify Sequential Skip Prediction Challenge focuses on predicting if a
track in a session will be skipped by the user or not. In this paper, we
describe our approach to this problem and the final system that was submitted
to the challenge by our team from the Music Technology Group (MTG) under the
name ""aferraro"". This system consists in combining the predictions of multiple
boosting trees models trained with features extracted from the sessions and the
tracks. The proposed approach achieves good overall performance (MAA of 0.554),
with our model ranked 14th out of more than 600 submissions in the final
leaderboard.
</p>
"
http://arxiv.org/abs/1903.11834,Feature Fusion Encoder Decoder Network For Automatic Liver Lesion Segmentation. (arXiv:1903.11834v1 [cs.CV]),"<p>Liver lesion segmentation is a difficult yet critical task for medical image
analysis. Recently, deep learning based image segmentation methods have
achieved promising performance, which can be divided into three categories: 2D,
2.5D and 3D, based on the dimensionality of the models. However, 2.5D and 3D
methods can have very high complexity and 2D methods may not perform
satisfactorily. To obtain competitive performance with low complexity, in this
paper, we propose a Feature-fusion Encoder-Decoder Network (FED-Net) based 2D
segmentation model to tackle the challenging problem of liver lesion
segmentation from CT images. Our feature fusion method is based on the
attention mechanism, which fuses high-level features carrying semantic
information with low-level features having image details. Additionally, to
compensate for the information loss during the upsampling process, a dense
upsampling convolution and a residual convolutional structure are proposed. We
tested our method on the dataset of MICCAI 2017 Liver Tumor Segmentation (LiTS)
Challenge and achieved competitive results compared with other state-of-the-art
methods.
</p>
"
http://arxiv.org/abs/1903.11835,A Survey on Graph Kernels. (arXiv:1903.11835v1 [cs.LG]),"<p>Graph kernels have become an established and widely-used technique for
solving classification tasks on graphs. This survey gives a comprehensive
overview of techniques for kernel-based graph classification developed in the
past 15 years. We describe and categorize graph kernels based on properties
inherent to their design, such as the nature of their extracted graph features,
their method of computation and their applicability to problems in practice. In
an extensive experimental evaluation, we study the classification accuracy of a
large suite of graph kernels on established benchmarks as well as new datasets.
We compare the performance of popular kernels with several baseline methods and
study the effect of applying a Gaussian RBF kernel to the metric induced by a
graph kernel. In doing so, we find that simple baselines become competitive
after this transformation on some datasets. Moreover, we study the extent to
which existing graph kernels agree in their predictions (and prediction errors)
and obtain a data-driven categorization of kernels as result. Finally, based on
our experimental results, we derive a practitioner's guide to kernel-based
graph classification.
</p>
"
http://arxiv.org/abs/1903.11844,DDoS Attack Detection Method Based on Network Abnormal Behavior in Big Data Environment. (arXiv:1903.11844v1 [cs.CR]),"<p>Distributed denial of service (DDoS) attack becomes a rapidly growing problem
with the fast development of the Internet. The existing DDoS attack detection
methods have time-delay and low detection rate. This paper presents a DDoS
attack detection method based on network abnormal behavior in a big data
environment. Based on the characteristics of flood attack, the method filters
the network flows to leave only the 'many-to-one' network flows to reduce the
interference from normal network flows and improve the detection accuracy. We
define the network abnormal feature value (NAFV) to reflect the state changes
of the old and new IP address of 'many-to-one' network flows. Finally, the DDoS
attack detection method based on NAFV real-time series is built to identify the
abnormal network flow states caused by DDoS attacks. The experiments show that
compared with similar methods, this method has higher detection rate, lower
false alarm rate and missing rate.
</p>
"
http://arxiv.org/abs/1903.11848,Sogou Machine Reading Comprehension Toolkit. (arXiv:1903.11848v1 [cs.CL]),"<p>Machine reading comprehension have been intensively studied in recent years,
and neural network-based models have shown dominant performances. In this
paper, we present a Sogou Machine Reading Comprehension (SMRC) toolkit that can
be used to provide the fast and efficient development of modern machine
comprehension models, including both published models and original prototypes.
To achieve this goal, the toolkit provides dataset readers, a flexible
preprocessing pipeline, necessary neural network components, and built-in
models, which make the whole process of data preparation, model construction,
and training easier.
</p>
"
http://arxiv.org/abs/1903.11849,Inertial Sensor Aided mmWave Beam Tracking to Support Cooperative Autonomous Driving. (arXiv:1903.11849v1 [eess.SP]),"<p>This paper presents an inertial sensor aided technique for beam alignment and
tracking in massive multiple-input multiple-output (MIMO) vehicle-to-vehicle
(V2V) communications based on millimeter waves (mmWave). Since directional
communications in vehicular scenarios are severely hindered by beam pointing
issues, a beam alignment procedure has to be periodically carried out to
guarantee the communication reliability. When dealing with massive MIMO links,
the beam sweeping approach is known to be time consuming and often unfeasible
due to latency constraints. To speed up the process, we propose a method that
exploits a-priori information on array dynamics provided by an inertial sensor
on transceivers to assist the beam alignment procedure. The proposed inertial
sensor aided technique allows a continuous tracking of the beam while
transmitting, avoiding frequent realignment phases. Numerical results based on
real measurements of on-transceiver accelerometers demonstrate a significant
gain in terms of V2V communication throughput with respect to conventional beam
alignment protocols.
</p>
"
http://arxiv.org/abs/1903.11850,Mining Discourse Markers for Unsupervised Sentence Representation Learning. (arXiv:1903.11850v1 [cs.CL]),"<p>Current state of the art systems in NLP heavily rely on manually annotated
datasets, which are expensive to construct. Very little work adequately
exploits unannotated data -- such as discourse markers between sentences --
mainly because of data sparseness and ineffective extraction methods. In the
present work, we propose a method to automatically discover sentence pairs with
relevant discourse markers, and apply it to massive amounts of data. Our
resulting dataset contains 174 discourse markers with at least 10k examples
each, even for rare markers such as coincidentally or amazingly We use the
resulting data as supervision for learning transferable sentence embeddings. In
addition, we show that even though sentence representation learning through
prediction of discourse markers yields state of the art results across
different transfer tasks, it is not clear that our models made use of the
semantic relation between sentences, thus leaving room for further
improvements. Our datasets are publicly available
(https://github.com/synapse-developpement/Discovery)
</p>
"
http://arxiv.org/abs/1903.11851,Feature Intertwiner for Object Detection. (arXiv:1903.11851v1 [cs.CV]),"<p>A well-trained model should classify objects with a unanimous score for every
category. This requires the high-level semantic features should be as much
alike as possible among samples. To achive this, previous works focus on
re-designing the loss or proposing new regularization constraints. In this
paper, we provide a new perspective. For each category, it is assumed that
there are two feature sets: one with reliable information and the other with
less reliable source. We argue that the reliable set could guide the feature
learning of the less reliable set during training - in spirit of student
mimicking teacher behavior and thus pushing towards a more compact class
centroid in the feature space. Such a scheme also benefits the reliable set
since samples become closer within the same category - implying that it is
easier for the classifier to identify. We refer to this mutual learning process
as feature intertwiner and embed it into object detection. It is well-known
that objects of low resolution are more difficult to detect due to the loss of
detailed information during network forward pass (e.g., RoI operation). We thus
regard objects of high resolution as the reliable set and objects of low
resolution as the less reliable set. Specifically, an intertwiner is designed
to minimize the distribution divergence between two sets. The choice of
generating an effective feature representation for the reliable set is further
investigated, where we introduce the optimal transport (OT) theory into the
framework. Samples in the less reliable set are better aligned with aid of OT
metric. Incorporated with such a plug-and-play intertwiner, we achieve an
evident improvement over previous state-of-the-arts.
</p>
"
http://arxiv.org/abs/1903.11854,Knowledge Management in Medium-Sized Software Consulting Companies: An investigation of Intranet-based Knowledge Management Tools for Knowledge Cartography and Knowledge Repositories for Learning Software Organisations. (arXiv:1903.11854v1 [cs.SE]),"<p>Companies that develop software have a pressure from customers to deliver
better solutions, and to deliver solutions faster and cheaper. Many researchers
have worked with suggestions on how to improve the development process;
software process improvement. As software development is a very knowledge
intensive task, both researchers and industry have recently turned their
attention to knowledge management as a means to improve software development.
This often involves developing technical tools, which many companies have spent
resources on. But the tools are often not used in practise by developers and
managers in the companies, and it is often unknown if the tools improve how
knowledge is managed. In order to build efficient knowledge management tools,
we need a better understanding of how the tools that exist are applied and used
in software development. We present and analyse eight case studies of knowledge
management initiatives from the literature. We found evidence of improved
software quality, reduced development costs and evidence of a better working
environment for developers as a result of these initiatives. Further, we
examine success criteria in knowledge management codification initiatives,
based on Intranet tools in medium-sized software companies. In addition, we
investigate how knowledge management tools are used for different purposes by
different groups of users in two software consulting companies. They use tools
both as support for personalization and codification strategies. The consulting
companies are two medium-sized Norwegian companies with 40 and 150 employees,
which work in development projects that lasts from a few weeks to several
years.
</p>
"
http://arxiv.org/abs/1903.11857,Analysis and Extension of the Evidential Reasoning Algorithm for Multiple Attribute Decision Analysis with Uncertainty. (arXiv:1903.11857v1 [cs.AI]),"<p>In multiple attribute decision analysis (MADA) problems, one often needs to
deal with assessment information with uncertainty. The evidential reasoning
approach is one of the most effective methods to deal with such MADA problems.
As kernel of the evidential reasoning approach, an original evidential
reasoning (ER) algorithm was firstly proposed by Yang et al, and later they
modified the ER algorithm in order to satisfy the proposed four synthesis
axioms with which a rational aggregation process needs to satisfy. However, up
to present, the essential difference of the two ER algorithms as well as the
rationality of the synthesis axioms are still unclear. In this paper, we
analyze the ER algorithms in Dempster-Shafer theory (DST) framework and prove
that the original ER algorithm follows the reliability discounting and
combination scheme, while the modified one follows the importance discounting
and combination scheme. Further we reveal that the four synthesis axioms are
not valid criteria to check the rationality of one attribute aggregation
algorithm. Based on these new findings, an extended ER algorithm is proposed to
take into account both the reliability and importance of different attributes,
which provides a more general attribute aggregation scheme for MADA with
uncertainty. A motorcycle performance assessment problem is examined to
illustrate the proposed algorithm.
</p>
"
http://arxiv.org/abs/1903.11860,Complete Disjoint coNP-Pairs but no Complete Total Polynomial Search Problems Relative to an Oracle. (arXiv:1903.11860v1 [cs.CC]),"<p>Consider the following conjectures:
</p>
<p>H1: the set TFNP of all total polynomial search problems has no complete
problems with respect to polynomial reductions.
</p>
<p>H2: there exists no many-one complete disjoint coNP-pair.
</p>
<p>We construct an oracle relative to which H1 holds and H2 does not hold. This
partially answers a question by Pudl\'ak [Pud17], who lists several hypotheses
and asks for oracles that show corresponding relativized hypotheses to be
different. As there exists a relativizable proof for the implication H1 -&gt; H2
[Pud17], the relativizations of the hypotheses H1 and H2 are neither
independent nor equivalent.
</p>
"
